Locator,Invoice Date,Number of Tickets,Round Trip Indicator,Travel Sector,Trip Length,Booking Date,Days Advance Booking,Mileage,Cost Per Mile (USD),Total Ticket Amount (USD)
EKEQLT,5/17/2021,1,RS,Intra Country,2,5/12/2021,12,518,$0.42 ,219.85
XKEJCT,5/17/2021,1,OS,Intra Country,1,5/17/2021,24,418,$0.60 ,252.29
XKEJCT,5/17/2021,1,OS,Intra Country,1,5/17/2021,25,403,$1.59 ,642.39
QSYFQA,5/17/2021,1,RS,Intra Country,2,5/17/2021,3,510,$0.80 ,407.18
UDNRDH,5/17/2021,1,RS,Intra Country,3,5/17/2021,18,"1,731",$0.32 ,550.8
HDUXRA,5/17/2021,0,RS,Intra Country,-3,5/17/2021,-2,-533,$0.60 ,322.06
DSYXFA,5/18/2021,0,OS,Intra Country,1,4/9/2021,39,"1,313",$0.01 ,14.69
USVBWK,5/18/2021,1,OS,Intra Country,2,4/27/2021,22,"2,581",$0.93 ,2402.41
EIYKAI,5/18/2021,0,OS,Intra Country,1,5/4/2021,14,"1,313",$0.03 ,39.2
DXNKLN,5/18/2021,1,OS,Intra Country,1,5/14/2021,21,"1,536",$0.30 ,457.34
DXNKLN,5/18/2021,1,OS,Intra Country,1,5/14/2021,22,"1,761",$0.29 ,506.2
WEPHTB,5/18/2021,1,OS,Intra Country,1,5/17/2021,46,308,$0.25 ,76.34
XDPCXE,5/18/2021,1,RS,Intra Country,2,5/18/2021,9,"3,687",$0.18 ,652.97
XHXQRH,5/18/2021,1,OS,Intra Country,1,5/18/2021,15,364,$1.36 ,495.34
XHXQRH,5/18/2021,1,OS,Intra Country,1,5/18/2021,14,394,$1.31 ,515.2
GQBDLE,5/18/2021,1,OS,Intra Country,2,4/23/2021,54,"2,340",$0.20 ,459.1
AFDIOX,5/18/2021,1,RS,Intra Country,1,5/18/2021,9,287,$1.30 ,373.85
SAMIRC,5/18/2021,1,RS,Intra Country,3,5/18/2021,3,684,$0.61 ,420.23
GYFAMG,5/18/2021,1,OS,Intra Country,1,5/17/2021,27,638,$0.77 ,490.4
GYFAMG,5/18/2021,1,OS,Intra Country,1,5/17/2021,25,643,$0.47 ,301.88
TLWPKZ,5/18/2021,1,RS,Intra Country,1,5/17/2021,4,616,$0.37 ,227.48
YHOZFG,5/19/2021,0,RS,Intra Country,3,5/10/2021,10,"2,913", $-   ,0
YHOZFG,5/19/2021,1,RS,Intra Country,3,5/10/2021,10,"2,913", $-   ,0
TGMYYJ,5/19/2021,1,OS,Intra Country,2,5/14/2021,6,"1,123",$0.43 ,480.76
QSYFQA,5/19/2021,1,RS,Intra Country,1,5/17/2021,4,510, $-   ,0
DKBISO,5/19/2021,1,RS,Intra Country,2,5/12/2021,28,"1,828",$0.23 ,416.53
AFFLAB,5/19/2021,1,RS,Intra Country,3,5/18/2021,16,"3,391",$0.08 ,264.65
QCRPTU,5/19/2021,1,RS,Intra Country,1,5/17/2021,4,616,$0.37 ,227.48
VURUWF,5/19/2021,1,RS,Intra Country,3,4/30/2021,35,"1,087",$0.65 ,703.95
SQDXQM,5/19/2021,1,RS,Intra Country,2,4/16/2021,65,807,$1.59 ,1284.79
AAGLVS,5/19/2021,1,RS,Intra Country,2,5/12/2021,39,"1,377",$0.20 ,276.18
ZGMZNB,5/19/2021,1,RS,Intra Country,2,5/19/2021,15,"1,499",$0.39 ,587.51
XVILBS,5/19/2021,1,RS,Intra Country,2,5/18/2021,6,518,$0.47 ,241.35
LTHJYX,5/19/2021,1,RS,Intra Country,2,5/12/2021,21,"1,731",$0.24 ,409.05
BXVXJN,5/19/2021,1,RS,Intra Country,1,5/17/2021,4,616,$0.40 ,246.77
TJTIRM,5/19/2021,1,RS,Intra Country,1,5/17/2021,4,616,$0.44 ,273.77
MNXKKC,5/19/2021,0,OS,Intra Country,-1,5/19/2021,0,"-1,167",$0.40 ,466.4
VIZAJT,5/20/2021,0,OS,Intra Country,1,3/29/2021,67,"1,201", $-   ,0
VIZAJT,5/20/2021,1,OS,Intra Country,1,3/29/2021,67,"1,201", $-   ,0
CIXWAQ,5/20/2021,1,RS,Intra Country,3,5/20/2021,22,"4,797",$0.13 ,643.01
TKNTVM,5/20/2021,1,RS,Intra Country,1,5/17/2021,4,593,$0.51 ,303.27
YWAWTB,5/20/2021,1,RS,Intra Country,2,5/19/2021,17,"3,687",$0.42 ,1547.26
XDUAIV,5/20/2021,1,RS,Intra Country,1,5/17/2021,4,616,$0.60 ,367.7
LQLVWF,5/20/2021,1,RS,Intra Country,3,5/20/2021,14,"3,009",$0.08 ,252.24
LCNCXG,5/20/2021,1,RS,Intra Country,3,5/20/2021,22,518,$0.66 ,340.9
ACUCVS,5/20/2021,1,OS,Intra Country,1,5/20/2021,16,"1,201",$0.08 ,91.82
UAKKIH,5/20/2021,1,RS,Intra Country,2,5/20/2021,15,"3,436",$0.09 ,308.16
EQIDVI,5/20/2021,1,OS,Intra Country,1,5/20/2021,33,952,$0.35 ,331
ABHIMX,5/20/2021,1,OM,Intra Country,3,5/20/2021,13,"3,466",$0.15 ,519.16
ERPOYC,5/20/2021,1,OS,Intra Country,1,5/20/2021,34,763,$0.22 ,167.11
TTEHXE,5/21/2021,1,OS,Intra Country,1,5/12/2021,15,471,$0.80 ,377.8
TTEHXE,5/21/2021,0,OS,Intra Country,1,5/12/2021,16,408, $-   ,0
TTEHXE,5/21/2021,1,RS,Intra Country,2,5/12/2021,15,879, $-   ,0
AJKXQE,5/21/2021,1,RS,Intra Country,2,5/19/2021,22,"2,637",$0.44 ,1168.75
EYYTLG,5/21/2021,1,RS,Intra Country,2,5/20/2021,8,775,$0.91 ,704.42
WICWSA,5/21/2021,1,RS,Intra Country,3,5/21/2021,22,"2,245",$0.41 ,924.29
XNCYXG,5/21/2021,1,RS,Intra Country,2,3/22/2021,71,"3,134",$0.29 ,897.95
DQUXOT,5/21/2021,1,OS,Intra Country,1,5/11/2021,30,"1,532",$0.13 ,204.52
KNPUTJ,5/21/2021,1,OS,Intra Country,1,5/20/2021,15,"1,764",$0.17 ,302.52
RMPHYG,5/21/2021,1,OM,Intra Country,2,5/21/2021,15,"1,765",$0.19 ,326.76
TPBKIC,5/21/2021,1,RS,Intra Country,2,5/18/2021,20,518,$0.37 ,191.47
WJQBHE,5/21/2021,1,RS,Intra Country,3,5/19/2021,22,"1,773",$0.28 ,503.54
EZIYFQ,5/21/2021,1,RS,Intra Country,2,5/21/2021,17,"2,125",$0.23 ,478.94
EEFKJE,5/21/2021,1,OS,Intra Country,1,5/21/2021,23,288,$1.13 ,325.45
IEWOVL,5/21/2021,1,RS,Intra Country,4,5/21/2021,20,"4,448",$0.33 ,1457.15
QAQSUT,5/22/2021,0,OS,Intra Country,1,2/25/2021,87,597,$0.12 ,71.2
HWLCSH,5/24/2021,1,RM,Intra Country,2,5/6/2021,17,669,$0.18 ,119.54
HEPOSB,5/24/2021,1,OS,Intra Country,1,5/21/2021,26,178,$1.50 ,266.4
KKQEIC,5/24/2021,1,RS,Intra Country,2,5/24/2021,11,469,$0.65 ,307.03
KBCYLZ,5/24/2021,1,OM,Intra Country,3,5/24/2021,11,"2,372",$0.58 ,1364.21
WXWLLJ,5/24/2021,1,RS,Intra Country,2,5/24/2021,11,"1,353",$0.17 ,226.19
RHILDL,5/24/2021,1,RS,Intra Country,2,5/24/2021,11,"1,353",$0.17 ,226.19
MOGYBG,5/24/2021,1,RS,Intra Country,2,5/24/2021,12,"2,401",$0.12 ,283.02
KYEVXX,5/24/2021,1,RS,Intra Country,2,5/24/2021,1,"2,042",$0.35 ,717.83
XYFLWL,5/24/2021,0,RS,Intra Continental,-3,5/24/2021,0,"-4,311",$0.10 ,448.06
XFWPKX,5/24/2021,0,RS,Intra Continental,-3,5/24/2021,0,"-4,346",$0.39 ,1687.94
XKZVEI,5/25/2021,1,OS,Intra Country,1,4/7/2021,48,893,$0.23 ,203.83
AUUDSS,5/25/2021,1,OM,Intra Country,1,5/6/2021,18,446,$0.27 ,119.54
GVTUQE,5/25/2021,1,RS,Intra Country,2,5/24/2021,12,"3,486",$0.89 ,3108.8
ZVEIIL,5/25/2021,1,RS,Intra Country,2,5/24/2021,10,"2,342",$0.27 ,624.64
QRRRTC,5/25/2021,1,RO,Intra Country,2,5/17/2021,31,"4,681",$0.35 ,1646.8
JXJSOH,5/25/2021,1,RS,Intra Country,3,5/25/2021,10,"1,436",$0.49 ,696.97
JEDSMY,5/25/2021,1,OS,Intra Country,1,5/25/2021,16,797,$0.46 ,366.38
TYBJAC,5/25/2021,1,OS,Intra Country,1,5/25/2021,8,"1,662",$0.25 ,416.05
DDPCXW,5/25/2021,1,RS,Intra Country,4,5/25/2021,24,984,$0.25 ,247.83
KUEOLC,5/25/2021,1,RS,Intra Country,2,5/24/2021,67,973,$0.60 ,585.52
JIOPFF,5/25/2021,1,RS,Intra Country,2,5/25/2021,9,"3,121",$0.16 ,486.71
SSTFLV,5/25/2021,1,RS,Intra Country,2,5/25/2021,10,"2,401",$0.29 ,698.55
KQALIL,5/25/2021,1,RS,Intra Country,2,5/12/2021,21,964,$0.29 ,284.35
VEJOVF,5/25/2021,1,RO,Intra Country,3,5/25/2021,17,"2,247",$0.33 ,736.51
VEJOVF,5/25/2021,1,OS,Intra Country,1,5/25/2021,19,"2,120",$0.27 ,576.7
DUPVUK,5/25/2021,1,RS,Intra Country,2,5/12/2021,21,964,$0.29 ,284.35
AXEYGX,5/25/2021,1,RS,Intra Country,3,5/25/2021,31,"2,070",$0.29 ,607.12
JDBYTD,5/25/2021,1,RO,Intra Country,2,5/18/2021,37,525,$1.45 ,760.88
WCEVUY,5/25/2021,1,RS,Intra Country,2,5/25/2021,9,"4,681",$0.12 ,556.8
BCIYBJ,5/26/2021,0,RS,Intra Country,3,3/31/2021,65,"3,687",$0.04 ,165.02
HUAREL,5/26/2021,1,RS,Intra Country,2,5/11/2021,20,939,$0.57 ,539.16
VZRVNQ,5/26/2021,1,RS,Intra Country,2,5/25/2021,9,"1,103",$0.32 ,355.6
EUYSAP,5/26/2021,1,RS,Intra Country,2,5/12/2021,21,964,$0.29 ,284.35
ZVPTBW,5/26/2021,1,RS,Intra Country,2,5/12/2021,21,964,$0.29 ,284.35
TLJDRI,5/26/2021,1,RS,Intra Country,4,5/25/2021,9,"4,681",$0.10 ,470.75
ZUQFXR,5/26/2021,1,OS,Intra Country,1,5/26/2021,7,326,$0.65 ,210.24
MZLXSS,5/26/2021,1,OS,Intra Country,1,5/26/2021,8,924,$0.18 ,164.34
GMVJCE,5/26/2021,1,OS,Intra Country,1,5/26/2021,10,"1,198",$0.08 ,97.7
XALZBS,5/26/2021,1,OS,Intra Country,1,5/26/2021,9,676,$0.17 ,113.19
XALZBS,5/26/2021,1,OS,Intra Country,1,5/26/2021,10,899,$0.15 ,130.96
UNTMUH,5/26/2021,1,RS,Intra Country,3,5/26/2021,9,"1,210",$0.51 ,621.97
UJYYCI,5/26/2021,1,OS,Intra Country,1,5/26/2021,9,718,$0.53 ,383.29
UJYYCI,5/26/2021,1,OS,Intra Country,1,5/26/2021,10,718,$0.24 ,175.12
DTBEQC,5/26/2021,1,OS,Intra Country,1,5/25/2021,10,611,$0.26 ,161.09
